,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
5,201587,64,64,Greater Than 15 Ft,0.571,2.08,4.69,0.443,0.38,0.063
0,1626179,77,77,Overall,1.0,3.19,7.62,0.419,0.445,-0.026
1,1626179,77,72,3 Pointers,0.422,1.13,3.22,0.351,0.366,-0.015
2,1626179,77,77,2 Pointers,0.578,2.06,4.4,0.469,0.494,-0.025
3,1626179,77,63,Less Than 6 Ft,0.206,1.09,1.57,0.694,0.614,0.08
4,1626179,77,70,Less Than 10 Ft,0.291,1.34,2.22,0.602,0.555,0.047
5,1626179,77,77,Greater Than 15 Ft,0.603,1.61,4.6,0.35,0.378,-0.027
0,1626195,44,44,Overall,1.0,2.59,5.11,0.507,0.475,0.032
1,1626195,44,23,3 Pointers,0.204,0.34,1.05,0.326,0.355,-0.029
2,1626195,44,42,2 Pointers,0.796,2.25,4.07,0.553,0.521,0.032
3,1626195,44,37,Less Than 6 Ft,0.484,1.43,2.48,0.578,0.595,-0.017
4,1626195,44,38,Less Than 10 Ft,0.596,1.75,3.05,0.575,0.556,0.018
5,1626195,44,33,Greater Than 15 Ft,0.347,0.75,1.77,0.423,0.377,0.046
