,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
280,Vic Law,SF,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
281,Jake Layman,PF,0.33299999999999996,0.5329999999999999,0.7,1.7,0.7,0.7,0.4,1.0,2.0,9.1
282,T.J. Leaf,PF,0.35700000000000004,0.455,0.8,1.7,0.2,0.3,0.1,0.3,0.7,2.9
283,Jalen Lecque,PG,0.0,0.667,0.0,0.0,0.5,0.0,0.0,0.3,0.5,2.5
284,Courtney Lee,SG,0.447,0.5429999999999999,0.3,1.0,0.5,0.8,0.3,0.5,1.4,4.5
285,Damion Lee,SG,0.35600000000000004,0.47100000000000003,0.7,4.2,2.7,1.0,0.1,1.4,2.4,12.7
286,Alex Len,C,0.25,0.626,1.9,4.1,1.0,0.4,0.9,1.0,2.3,8.3
287,Kawhi Leonard,SF,0.366,0.51,1.0,6.3,5.0,1.8,0.6,2.7,1.9,26.9
288,Meyers Leonard,C,0.429,0.625,0.6,4.5,1.1,0.3,0.3,0.7,2.1,6.1
289,Caris LeVert,SG,0.381,0.429,1.0,3.1,4.1,1.1,0.2,2.5,1.8,17.7
290,Damian Lillard,PG,0.39399999999999996,0.518,0.5,3.8,7.8,1.0,0.4,2.9,1.7,28.9
291,Nassir Little,PF,0.237,0.5539999999999999,0.6,1.6,0.5,0.3,0.3,0.3,1.5,3.6
292,Kevon Looney,C,0.071,0.431,1.4,1.9,1.0,0.6,0.3,0.6,1.7,3.4
293,Brook Lopez,C,0.29600000000000004,0.557,0.7,3.8,1.6,0.7,2.4,1.0,2.4,11.0
294,Robin Lopez,C,0.344,0.588,0.9,1.6,0.7,0.2,0.7,0.9,1.3,5.5
295,Kevin Love,PF,0.374,0.537,1.0,8.8,3.2,0.6,0.3,2.5,1.6,17.6
296,Kyle Lowry,PG,0.354,0.505,0.6,4.3,7.7,1.3,0.4,3.0,3.2,19.7
297,Timothé Luwawu-Cabarrot,SG,0.358,0.47,0.6,1.7,0.6,0.4,0.2,0.8,2.1,6.3
298,Trey Lyles,PF,0.387,0.503,1.1,4.6,1.1,0.4,0.4,0.6,1.6,6.4
299,Daryl Macon,SG,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
300,J.P. Macura,SG,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Josh Magette,PG,0.25,0.364,0.1,0.6,0.6,0.4,0.1,0.6,0.5,1.5
302,Ian Mahinmi,C,0.192,0.5379999999999999,2.1,3.7,1.3,0.8,1.2,1.2,3.0,7.4
303,Thon Maker,C,0.344,0.55,0.9,1.9,0.7,0.4,0.7,0.8,1.7,4.7
304,Terance Mann,SG,0.25,0.452,0.1,0.8,1.1,0.2,0.1,0.4,1.0,1.6
305,Boban Marjanović,C,0.267,0.5820000000000001,1.4,2.7,0.4,0.2,0.2,0.7,1.3,6.3
306,Lauri Markkanen,PF,0.344,0.518,1.2,5.1,1.5,0.8,0.5,1.6,1.9,14.7
307,Caleb Martin,SF,0.541,0.36200000000000004,0.6,1.6,1.3,0.7,0.4,0.8,1.8,6.2
308,Cody Martin,SF,0.23399999999999999,0.546,0.8,2.5,2.0,0.8,0.2,0.9,1.6,5.0
309,Jeremiah Martin,PG,0.0,0.25,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.7
310,Kelan Martin,SF,0.26,0.541,0.4,2.7,0.7,0.2,0.3,0.6,1.6,6.4
311,Frank Mason III,PG,0.2,0.33299999999999996,0.5,0.8,1.8,0.3,0.0,1.0,0.7,2.3
312,Garrison Mathews,SG,0.413,0.5,0.3,1.0,0.6,0.4,0.1,0.4,1.8,5.4
313,Wesley Matthews,SG,0.365,0.46799999999999997,0.3,2.2,1.5,0.6,0.1,0.7,1.5,7.5
314,Patrick McCaw,SF,0.324,0.484,0.5,1.8,2.1,1.1,0.1,0.8,1.6,4.6
315,CJ McCollum,SG,0.38,0.49700000000000005,0.7,3.4,4.3,0.7,0.6,1.9,2.6,22.5
316,T.J. McConnell,PG,0.33299999999999996,0.524,0.5,2.1,5.0,0.7,0.2,1.4,1.1,6.5
317,Jalen McDaniels,PF,0.375,0.522,0.9,3.1,0.8,0.5,0.2,0.7,2.3,5.6
318,Doug McDermott,PF,0.445,0.544,0.4,2.1,1.1,0.1,0.1,0.6,1.7,10.4
319,JaVale McGee,C,0.5,0.643,1.8,4.0,0.6,0.5,1.5,0.8,2.4,6.8
320,Rodney McGruder,SG,0.278,0.506,0.5,2.0,0.6,0.5,0.2,0.4,1.3,3.2
321,Alfonzo McKinnie,SF,0.215,0.557,0.9,1.9,0.4,0.6,0.2,0.7,1.8,4.6
322,Jordan McLaughlin,PG,0.382,0.569,0.2,1.4,4.2,1.1,0.1,1.0,1.0,7.6
323,Ben McLemore,SG,0.395,0.688,0.3,1.9,0.9,0.6,0.2,0.7,2.1,9.8
