,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
1472,Rodney McGruder,203585.0,4.0,5.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,15.0,19.0,SG,0.34750000000000003,0.5,2.825,1.2,0.5,0.2,0.575,1.5,5.575
1473,Rodney Purvis,1628681.0,3.0,0.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,7.0,SG,0.25,0.4,1.7,1.1,0.2,0.2,0.6,1.6,6.0
1474,Rodney Rogers,915.0,2.0,4.0,20.0,6.0,7.0,0.0,0.0,6.0,2.0,10.0,3.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,2.0,42.0,SF,0.3393,0.4742,4.41,1.6700000000000004,0.85,0.4199999999999999,1.53,3.0,9.89
1475,Rodney Stuckey,201155.0,21.0,13.0,21.0,27.0,10.0,0.0,0.0,16.0,19.0,23.0,4.0,19.0,32.0,16.0,20.0,0.0,28.0,42.0,53.0,227.0,PG,0.28400000000000003,0.4381,2.8800000000000003,3.49,0.85,0.12000000000000002,1.7799999999999998,2.0,12.2
1476,Rodney White,2206.0,9.0,2.0,28.0,21.0,24.0,0.0,0.0,39.0,26.0,50.0,19.0,10.0,17.0,13.0,12.0,9.0,26.0,11.0,70.0,189.0,SF,0.3308333333333333,0.425,1.7666666666666666,0.9166666666666666,0.5,0.2166666666666667,1.0,1.15,5.716666666666666
1477,Rodrigue Beaubois,201958.0,19.0,18.0,31.0,34.0,27.0,0.0,0.0,6.0,12.0,19.0,3.0,8.0,3.0,5.0,6.0,0.0,13.0,26.0,50.0,229.0,PG,0.3225,0.49425,1.85,2.1,0.675,0.275,1.175,1.8,7.1
1478,Roko Ukic,101146.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,PG,0.2135,0.519,0.6,1.5,0.25,0.0,0.65,0.8,3.65
1479,Romeo Langford,1629641.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,SG,0.217,0.463,1.2,0.2,0.3,0.2,0.3,1.1,2.6
1480,Ron Baker,1627758.0,8.0,3.0,6.0,12.0,5.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,52.0,SG,0.1576,0.4135,1.0399999999999998,1.28,0.5599999999999999,0.16,0.56,1.14,1.7399999999999998
1481,Ron Harper,166.0,9.0,12.0,8.0,15.0,8.0,0.0,0.0,2.0,6.0,4.0,1.0,5.0,16.0,4.0,9.0,1.0,14.0,12.0,23.0,193.0,PG,0.2875,0.48200000000000004,3.85,2.9,0.95,0.5,1.5,1.8,6.75
