,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,202694,52,52,Overall,1.0,4.19,9.0,0.466,0.461,0.005
1,202694,52,48,3 Pointers,0.327,0.96,2.94,0.327,0.354,-0.028
2,202694,52,52,2 Pointers,0.673,3.23,6.06,0.533,0.518,0.015
3,202694,52,51,Less Than 6 Ft,0.321,2.1,2.88,0.727,0.622,0.105
4,202694,52,51,Less Than 10 Ft,0.434,2.52,3.9,0.645,0.576,0.07
5,202694,52,51,Greater Than 15 Ft,0.496,1.48,4.46,0.332,0.37,-0.038
0,1628408,2,2,Overall,1.0,1.0,2.0,0.5,0.478,0.022
1,1628408,2,0,3 Pointers,,,,,,
2,1628408,2,2,2 Pointers,1.0,1.0,2.0,0.5,0.549,-0.049
3,1628408,2,2,Less Than 6 Ft,0.75,1.0,1.5,0.667,0.712,-0.046
4,1628408,2,2,Less Than 10 Ft,0.75,1.0,1.5,0.667,0.628,0.038
5,1628408,2,1,Greater Than 15 Ft,0.25,0.0,0.5,0.0,0.381,-0.381
0,1626154,4,4,Overall,1.0,0.75,3.25,0.231,0.432,-0.201
1,1626154,4,4,3 Pointers,0.462,0.0,1.5,0.0,0.341,-0.341
2,1626154,4,2,2 Pointers,0.538,0.75,1.75,0.429,0.478,-0.049
3,1626154,4,2,Less Than 6 Ft,0.308,0.75,1.0,0.75,0.609,0.142
4,1626154,4,2,Less Than 10 Ft,0.385,0.75,1.25,0.6,0.523,0.077
5,1626154,4,4,Greater Than 15 Ft,0.538,0.0,1.75,0.0,0.357,-0.357
0,1626179,77,77,Overall,1.0,3.19,7.62,0.419,0.445,-0.026
1,1626179,77,72,3 Pointers,0.422,1.13,3.22,0.351,0.366,-0.015
2,1626179,77,77,2 Pointers,0.578,2.06,4.4,0.469,0.494,-0.025
3,1626179,77,63,Less Than 6 Ft,0.206,1.09,1.57,0.694,0.614,0.08
4,1626179,77,70,Less Than 10 Ft,0.291,1.34,2.22,0.602,0.555,0.047
5,1626179,77,77,Greater Than 15 Ft,0.603,1.61,4.6,0.35,0.378,-0.027
0,1627846,42,42,Overall,1.0,1.9,3.79,0.503,0.431,0.073
1,1627846,42,30,3 Pointers,0.434,0.67,1.64,0.406,0.354,0.052
